batch_id,methodology_id,report_id,company_id,company_name_zh,company_name_en,world500_rank,entity_id,entity_type,scope_en,scope_zh,emission_type_en,emission_type_zh,scope3_category_code,scope3_category_en,scope3_category_zh,activity_category_en,activity_category_zh,data_source_type_en,data_source_type_zh,assurance_stage_en,assurance_stage_zh,calculation_method_en,calculation_method_zh,boundary_type_en,boundary_type_zh,classification_stage_en,classification_stage_zh,estimate_basis_en,estimate_basis_zh,evidence_page,review_status,confidence_level
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_1__0001,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 1,范围1,Direct emissions,直接排放,,,,,,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_1__0002,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 1,范围1,Direct emissions,直接排放,,,,Stationary emission source,固定排放源,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_1__0003,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 1,范围1,Direct emissions,直接排放,,,,Mobile emission source,移动排放源,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_1__0004,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 1,范围1,Direct emissions,直接排放,,,,Fugitive emissions,散逸性排放,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_1__0005,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 1,范围1,Direct emissions,直接排放,,,,Purchased electricity,外购电力,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_2__0006,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 2,范围2,Indirect energy emissions,能源间接排放,,,,,,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_2__0007,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 2,范围2,Indirect energy emissions,能源间接排放,,,,Stationary emission source,固定排放源,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_2__0008,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 2,范围2,Indirect energy emissions,能源间接排放,,,,Mobile emission source,移动排放源,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_2__0009,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 2,范围2,Indirect energy emissions,能源间接排放,,,,Fugitive emissions,散逸性排放,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__p55__scope_2__0010,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,r168_torontodominionbank,company,Scope 2,范围2,Indirect energy emissions,能源间接排放,,,,Purchased electricity,外购电力,Derived data,推导数据,Report disclosure,报告披露,Location-based,位置法,,,Explicit mention,原文明确提及,es the sources of our Scope 1 and 2 GHG emissions and shows that more than half of these emissions are derived from the generation of the electricity we purchase. 2024 Location-Based51 Scope 1 and 2 GHG Emissions: Breakdown by Emissions Sou,,55,seed_batch_05,medium
