queue_id,company_id,report_id,inventory_year,reporting_entity_en,scope_en,energy_metric_en,energy_type_en,renewable_or_nonrenewable,purchased_electricity_flag,fuel_type,value,unit,source_basis_en,linked_emission_record_id,linked_factor_id,evidence_page,source_file,review_decision,reviewer_note,confidence_level
energy_00248,r431_elo集团,,,ELO,Scope 1,Fuel or site energy consumption,,,,,,,,r431_elo集团_Scope 1_248,,143,RFA_ELO_2024_EN-1.pdf,,,
energy_00249,r431_elo集团,,,ELO,Scope 2,Purchased electricity,,,yes,,,,,r431_elo集团_Scope 2_249,,143,RFA_ELO_2024_EN-1.pdf,,,
energy_00250,r434_drhorton公司,,,D.R. Horton,Scope 1,Fuel or site energy consumption,,,,,,,,r434_drhorton公司_Scope 1_250,,77,d-r-horton-inc-fy2024-sustainability-report.pdf,,,
energy_00251,r434_drhorton公司,,,D.R. Horton,Scope 2,Purchased electricity,,,yes,,,,,r434_drhorton公司_Scope 2_251,,77,d-r-horton-inc-fy2024-sustainability-report.pdf,,,
energy_00252,r443_crh公司,,,CRH,Scope 1,Fuel or site energy consumption,,,,,,,,r443_crh公司_Scope 1_252,,108,crh-2024-sustainability-performance-report_final_interactive-1.pdf,,,
energy_00253,r445_salesforce,,,SALESFORCE,Scope 1,Fuel or site energy consumption,,,,,,,,r445_salesforce_Scope 1_253,,93,salesforce-fy24-stakeholder-impact-report.pdf,,,
energy_00254,r445_salesforce,,,SALESFORCE,Scope 2,Purchased electricity,,,yes,,,,,r445_salesforce_Scope 2_254,,99,salesforce-fy24-stakeholder-impact-report.pdf,,,
energy_00255,r449_nationalaustraliabank,,,NATIONAL AUSTRALIA BANK,Scope 1,Fuel or site energy consumption,,,,,,,,r449_nationalaustraliabank_Scope 1_255,,41,2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,,,
energy_00256,r449_nationalaustraliabank,,,NATIONAL AUSTRALIA BANK,Scope 2,Purchased electricity,,,yes,,,,,r449_nationalaustraliabank_Scope 2_256,,104,2024-NATIONAL AUSTRALIA BANK-climate-report.pdf,,,
energy_00257,r450_sap公司,,,SAP,Scope 2,Purchased electricity,,,yes,,,,,r450_sap公司_Scope 2_257,,164,SAP integrated_report2024.pdf,,,
energy_00258,r450_sap公司,,,SAP,Scope 1,Fuel or site energy consumption,,,,,,,,r450_sap公司_Scope 1_258,,339,SAP integrated_report2024.pdf,,,
energy_00259,r455_elililly,,,ELI LILLY,Scope 1,Fuel or site energy consumption,,,,,,,,r455_elililly_Scope 1_259,,17,2024_ELI LILLY-SustainabilityReport-20251020_FINAL.pdf,,,
energy_00260,r456_koreagas,,,KOREA GAS,Scope 1,Fuel or site energy consumption,,,,,,,,r456_koreagas_Scope 1_260,,120,KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,,,
energy_00261,r456_koreagas,,,KOREA GAS,Scope 2,Purchased electricity,,,yes,,,,,r456_koreagas_Scope 2_261,,120,KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,,,
energy_00262,r464_britishamericantobacco,,,BRITISH AMERICAN TOBACCO,Scope 1,Fuel or site energy consumption,,,,,,,,r464_britishamericantobacco_Scope 1_262,,140,BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,,,
energy_00263,r464_britishamericantobacco,,,BRITISH AMERICAN TOBACCO,Scope 2,Purchased electricity,,,yes,,,,,r464_britishamericantobacco_Scope 2_263,,140,BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,,,
energy_00264,r466_bankofnewyorkmellon,,,BANK OF NEW YORK MELLON,Scope 1,Fuel or site energy consumption,,,,,,,,r466_bankofnewyorkmellon_Scope 1_264,,63,2023-BANK OF NEW YORK MELLON sustainability-report.pdf,,,
energy_00265,r466_bankofnewyorkmellon,,,BANK OF NEW YORK MELLON,Scope 2,Purchased electricity,,,yes,,,,,r466_bankofnewyorkmellon_Scope 2_265,,63,2023-BANK OF NEW YORK MELLON sustainability-report.pdf,,,
energy_00266,r478_siemensenergy,,,SIEMENS ENERGY,Scope 1,Fuel or site energy consumption,,,,,,,,r478_siemensenergy_Scope 1_266,,85,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,,,
energy_00267,r480_ecopetrol,,,ECOPETROL,Scope 1,Fuel or site energy consumption,,,,,,,,r480_ecopetrol_Scope 1_267,,395,2024-ECOPETROL-integrated-management-report.pdf,,,
energy_00268,r480_ecopetrol,,,ECOPETROL,Scope 2,Purchased electricity,,,yes,,,,,r480_ecopetrol_Scope 2_268,,297,2024-ECOPETROL-integrated-management-report.pdf,,,
energy_00269,r480_ecopetrol,,,ECOPETROL,Scope 2,Purchased electricity,,,yes,,,,,r480_ecopetrol_Scope 2_269,,297,2024-ECOPETROL-integrated-management-report.pdf,,,
energy_00270,r481_arrowelectronics,,,ARROW ELECTRONICS,Scope 2,Purchased electricity,,,yes,,,,,r481_arrowelectronics_Scope 2_270,,80,2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf,,,
energy_00271,r482_jerónimomartins公司,,,Jerónimo Martins,Scope 1,Fuel or site energy consumption,,,,,,,,r482_jerónimomartins公司_Scope 1_271,,184,Jerónimo Martins公司-nfr-corporate-responsibility-jeronimomartins-ar24.pdf,,,
energy_00272,r484_commonwealthbankofaustralia,,,COMMONWEALTH BANK OF AUSTRALIA,Scope 1,Fuel or site energy consumption,,,,,,,,r484_commonwealthbankofaustralia_Scope 1_272,,39,COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,,,
energy_00273,r484_commonwealthbankofaustralia,,,COMMONWEALTH BANK OF AUSTRALIA,Scope 2,Purchased electricity,,,yes,,,,,r484_commonwealthbankofaustralia_Scope 2_273,,64,COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,,,
energy_00274,r486_linde,,,LINDE,Scope 1,Fuel or site energy consumption,,,,,,,,r486_linde_Scope 1_274,,99,2024-LINDE-sustainable-development-report.pdf,,,
energy_00275,r486_linde,,,LINDE,Scope 2,Purchased electricity,,,yes,,,,,r486_linde_Scope 2_275,,59,2024-LINDE-sustainable-development-report.pdf,,,
energy_00276,r487_heineken,,,HEINEKEN,Scope 2,Purchased electricity,,,yes,,,,,r487_heineken_Scope 2_276,,177,heineken_n_v_annual_report_2024_final_20feb2025.pdf,,,
energy_00277,r498_瑞士abb集团,,,ABB,Scope 1,Fuel or site energy consumption,,,,,,,,r498_瑞士abb集团_Scope 1_277,,36,ABB Sustainability Statement 2024.pdf,,,
