queue_id,priority_rank,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,report_id,report_title,inventory_year,scope3_category_code,scope3_category_en,current_screening_status,current_reported_value_mtco2e,current_evidence_page,missing_or_conflict_type,relevance_basis_en,quantitative_share_percent,source_layer,source_file,review_decision,corrected_value_mtco2e,corrected_status,corrected_evidence_page,reviewer_note,confidence_level
scope3_screen_00035,35,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00036,36,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00037,37,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00038,38,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00039,39,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00040,40,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00041,41,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00042,42,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,12,Category 12 End-of-life treatment of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00043,43,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,13,Category 13 Downstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00044,44,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,14,Category 14 Franchises,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00045,45,r003_stategrid,3,STATE GRID,国家电网有限公司,D,,,,15,Category 15 Investments,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00046,46,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,1,Category 1 Purchased goods and services,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00047,47,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00048,48,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,3,Category 3 Fuel- and energy-related activities,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00049,49,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,4,Category 4 Upstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00050,50,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00051,51,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00052,52,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00053,53,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00054,54,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00055,55,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00056,56,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00057,57,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,12,Category 12 End-of-life treatment of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00058,58,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,13,Category 13 Downstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00059,59,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,14,Category 14 Franchises,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00060,60,r004_saudiaramco,4,SAUDI ARAMCO,沙特阿美公司,B,,,,15,Category 15 Investments,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00061,61,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,1,Category 1 Purchased goods and services,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00062,62,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00063,63,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,3,Category 3 Fuel- and energy-related activities,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00064,64,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,4,Category 4 Upstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00065,65,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00066,66,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00067,67,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00068,68,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00069,69,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00070,70,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00071,71,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00072,72,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,12,Category 12 End-of-life treatment of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00073,73,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,13,Category 13 Downstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00074,74,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,14,Category 14 Franchises,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00075,75,r005_sinopecgroup,5,SINOPEC GROUP,中国石油化工集团有限公司,C,,,,15,Category 15 Investments,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00076,76,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,1,Category 1 Purchased goods and services,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00077,77,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00078,78,r006_chinanationalpetroleum,6,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,,,,3,Category 3 Fuel- and energy-related activities,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
