queue_id,company_id,report_id,emission_anchor_id,scope_en,scope3_category_code,activity_category_en,calculation_method_en,region_en,fuel_or_grid_en,gas,value_mtco2e,factor_needed_type,candidate_factor_id,factor_source_en,factor_class_en,factor_unit,factor_gwp_basis,factor_publication_year,unit_conversion_needed,edge_status,evidence_page,source_file,review_decision,reviewer_note
factor_edge_00011,r007_apple,,r007_apple_Scope 3__11,Scope 3,,,,,,,15.19099,emission_record_factor,,,,,,,review,missing_applies_emission_factor,105,Apple_Environmental_Progress_Report_2025.pdf,,
factor_edge_00012,r007_apple,,r007_apple_Scope 3__12,Scope 3,,,,,,,35.73,emission_record_factor,,,,,,,review,missing_applies_emission_factor,106,Apple_Environmental_Progress_Report_2025.pdf,,
factor_edge_00013,r008_unitedhealthgroup,,r008_unitedhealthgroup__4_13,,4,,,,,,0.5213369999999999,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,
factor_edge_00014,r008_unitedhealthgroup,,r008_unitedhealthgroup_Scope 1__14,Scope 1,,,,,,,0.105782,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,
factor_edge_00015,r008_unitedhealthgroup,,r008_unitedhealthgroup_Scope 2__15,Scope 2,,,Market-Based,,,,0.265661,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,
factor_edge_00016,r008_unitedhealthgroup,,r008_unitedhealthgroup_Scope 3__16,Scope 3,,,,,,,17.977601,emission_record_factor,,,,,,,review,missing_applies_emission_factor,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,
factor_edge_00017,r008_unitedhealthgroup,,r008_unitedhealthgroup_Scope 3__17,Scope 3,,,,,,,13.811453,emission_record_factor,,,,,,,review,missing_applies_emission_factor,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,
factor_edge_00018,r011_volkswagen,,r011_volkswagen__1_18,,1,,,,,,89572138.0,scope3_category_activity_or_spend_factor,,,,,,,review,missing_applies_emission_factor,66,2023_Volkswagen_Group_Sustainability_Report.pdf,,
factor_edge_00019,r011_volkswagen,,r011_volkswagen_Scope 1__19,Scope 1,,,,,,,4.03,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,66,2023_Volkswagen_Group_Sustainability_Report.pdf,,
factor_edge_00020,r011_volkswagen,,r011_volkswagen_Scope 2__20,Scope 2,,,,,,,1.96,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,66,2023_Volkswagen_Group_Sustainability_Report.pdf,,
