queue_id,company_id,report_id,inventory_year,scope3_total_mtco2e,category_sum_mtco2e,delta_mtco2e,delta_percent,tolerance_flag,categories_present,categories_missing,duplicate_category_codes,boundary_variants,value_unit_raw,evidence_pages,source_files,reconciliation_decision,accepted_total_value,accepted_category_sum,reviewer_note,company_name_en,company_name_zh,world500_rank
scope3_recon_00098,r455_elililly,,,6.1739999999999995,0.0020239999999999998,-6.171976,-99.96721736313575,review_delta_gt_5pct,4,1|2|3|5|6|7|8|9|10|11|12|13|14|15,,,tCO2e,15,2024_ELI LILLY-SustainabilityReport-20251020_FINAL.pdf,,,,,ELI LILLY,美国礼来公司,455
scope3_recon_00099,r456_koreagas,,,0.0020239999999999998,,-0.0020239999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,147,KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,,,,,KOREA GAS,韩国天然气公司,456
scope3_recon_00100,r464_britishamericantobacco,,,4e-06,4e-06,0.0,0.0,pass,1,2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,tCO2e,140,BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,,,,,BRITISH AMERICAN TOBACCO,英美烟草集团,464
scope3_recon_00101,r466_bankofnewyorkmellon,,,0.028260999999999998,,-0.028260999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,129,2023-BANK OF NEW YORK MELLON sustainability-report.pdf,,,,,BANK OF NEW YORK MELLON,纽约梅隆银行,466
scope3_recon_00102,r469_novonordisk,,,1.5,0.001014,-1.498986,-99.9324,review_delta_gt_5pct,1|2|3,4|5|6|7|8|9|10|11|12|13|14|15,,,tCO2e,55|58,novo-nordisk-annual-report-2024.pdf,,,,,NOVO NORDISK,诺和诺德公司,469
scope3_recon_00103,r478_siemensenergy,,,0.0020239999999999998,,-0.0020239999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,85,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,,,,,SIEMENS ENERGY,西门子能源,478
scope3_recon_00104,r480_ecopetrol,,,151.117258,,-151.117258,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,297,2024-ECOPETROL-integrated-management-report.pdf,,,,,ECOPETROL,哥伦比亚国家石油公司,480
scope3_recon_00105,r481_arrowelectronics,,,9.05301,,-9.05301,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,81,2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf,,,,,ARROW ELECTRONICS,艾睿电子,481
scope3_recon_00106,r482_jerónimomartins公司,,,0.016177999999999998,,-0.016177999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,184,Jerónimo Martins公司-nfr-corporate-responsibility-jeronimomartins-ar24.pdf,,,,,Jerónimo Martins,Jerónimo Martins,482
scope3_recon_00107,r486_linde,,,0.53,,-0.53,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,99,2024-LINDE-sustainable-development-report.pdf,,,,,LINDE,林德集团,486
scope3_recon_00108,r487_heineken,,,14.8,,-14.8,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,177,heineken_n_v_annual_report_2024_final_20feb2025.pdf,,,,,HEINEKEN,喜力公司,487
