queue_id,company_id,report_id,inventory_year,scope3_total_mtco2e,category_sum_mtco2e,delta_mtco2e,delta_percent,tolerance_flag,categories_present,categories_missing,duplicate_category_codes,boundary_variants,value_unit_raw,evidence_pages,source_files,reconciliation_decision,accepted_total_value,accepted_category_sum,reviewer_note,company_name_en,company_name_zh,world500_rank
scope3_recon_00023,r111_morganstanley,,,,0.09828899999999999,,,missing_total_or_categories,6|13,1|2|3|4|5|7|8|9|10|11|12|14|15,,,tCO2e,69,Morgan_Stanley_2023_ESG_Report.pdf,,,,,MORGAN STANLEY,摩根士丹利,111
scope3_recon_00024,r114_royalaholddelhaize,,,0.354,,-0.354,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,182,Ahold_Delhaize_Annual_Report_2024.pdf,,,,,ROYAL AHOLD DELHAIZE,皇家阿霍德德尔海兹集团,114
scope3_recon_00025,r116_indianoil,,,351.09,,-351.09,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,59,INDIAN OIL-IOCL-Sustainability-Report-2023-24.pdf,,,,,INDIAN OIL,印度石油公司,116
scope3_recon_00026,r119_christiandior,,,7.522618,,-7.522618,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,116,ChristianDior_2024_Annual_Report.pdf,,,,,CHRISTIAN DIOR,迪奥公司,119
scope3_recon_00027,r125_ptt,,,0.0002,,-0.0002,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,152,PTT One Report ENG 2024.pdf,,,,,PTT,泰国国家石油有限公司,125
scope3_recon_00028,r130_engie集团,,,7.8e-05,,-7.8e-05,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,112,ENGIE_DEU_2024_US__PDF_MEL_v3.pdf,,,,,Engie,Engie,130
scope3_recon_00029,r131_waltdisney,,,8e-06,2.1e-05,1.3e-05,162.5,review_delta_gt_5pct,1|14,2|3|4|5|6|7|8|9|10|11|12|13|15,,,tCO2e,28,华特迪士尼公司-2024-SSI-Report.pdf,,,,,WALT DISNEY,华特迪士尼公司,131
scope3_recon_00030,r132_orlen,,,1.1e-05,,-1.1e-05,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,151,Management Board on the Operations of ORLEN Group 2024.pdf.coredownload.pdf,,,,,ORLEN,波兰国营石油公司,132
scope3_recon_00031,r133_delltechnologies,,,1.1e-05,,-1.1e-05,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,3,DELL中国delltechnologies-esg-fy24-performance-metrics.pdf,,,,,DELL TECHNOLOGIES,戴尔科技公司,133
scope3_recon_00032,r143_byd,,,3.32631249,,-3.32631249,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,127,比亚迪年度可持续报告2024.pdf,,,,,BYD,比亚迪股份有限公司,143
scope3_recon_00033,r145_siemens,,,0.0020239999999999998,,-0.0020239999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,85,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,,,,,SIEMENS,西门子,145
scope3_recon_00034,r162_kia,,,0.0729755,,-0.0729755,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,35,2025 KIA Sustainability Report.pdf,,,,,KIA,起亚公司,162
scope3_recon_00035,r163_sysco,,,9.790000000000001e-05,,-9.790000000000001e-05,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,45,Sysco FY24 Sustainability Report.pdf,,,,,SYSCO,西斯科公司,163
scope3_recon_00036,r168_torontodominionbank,,,0.020241,,-0.020241,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,56,2024-TORONTO-DOMINION BANK-sustainability-report-en.pdf,,,,,TORONTO-DOMINION BANK,多伦多道明银行,168
scope3_recon_00037,r174_法国bpce银行集团,,,0.002019,,-0.002019,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,34,GROUPE BPCE-2023-240506-tcfd-version-uk.pdf,,,,,BPCE Group,法国BPCE银行,174
scope3_recon_00038,r183_airbus,,,10.605,,-10.605,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,2,AIRBUS-pm_38_711_711991-us758j55ai.pdf,,,,,AIRBUS,空中客车公司,183
scope3_recon_00039,r185_zhejianggeelyholdinggroup,,,67.652981,,-67.652981,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,38,Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,,,,,ZHEJIANG GEELY HOLDING GROUP,浙江吉利控股集团有限公司,185
scope3_recon_00040,r189_itaúunibancoholding,,,0.038263,,-0.038263,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,115,ITAÚ UNIBANCO HOLDING ESG Report 2024.pdf,,,,,ITAÚ UNIBANCO HOLDING,伊塔乌联合银行控股公司,189
scope3_recon_00041,r191_generalelectric,,,23.0,,-23.0,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,23,GENERAL ELECTRIC-Aerospace 2025-sustainability-report.pdf,,,,,GENERAL ELECTRIC,通用电气公司,191
scope3_recon_00042,r193_lockheedmartin,,,3e-06,,-3e-06,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,42,2024-LOCKHEED MARTIN-Sustainability-Performance-Report.pdf,,,,,LOCKHEED MARTIN,洛克希德－马丁,193
scope3_recon_00043,r195_americanexpress,,,6e-06,6e-06,0.0,0.0,pass,6,1|2|3|4|5|7|8|9|10|11|12|13|14|15,,,tCO2e,67,AMERICAN EXPRESS_AXP_2023_2024_ESG_Report.pdf,,,,,AMERICAN EXPRESS,美国运通公司,195
scope3_recon_00044,r198_wilmarinternational,,,0.0001025,,-0.0001025,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,25,24_0151_wilmar_2024_sr-v7-27-may.pdf,,,,,WILMAR INTERNATIONAL,丰益国际,198
scope3_recon_00045,r199_caterpillar,,,64.0,,-64.0,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,67,CATERPILLAR 2024 SUSTAINABILITY REPORT.pdf,,,,,CATERPILLAR,卡特彼勒,199
scope3_recon_00046,r206_chinavanke,,,0.002022,,-0.002022,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,50,2024-CHINA VANKE-sustainability-report.pdf,,,,,CHINA VANKE,万科企业股份有限公司,206
scope3_recon_00047,r222_nvidia,,,,6.912576999999999,,,missing_total_or_categories,1|2|3|4|5|6|7|8,9|10|11|12|13|14|15,,,tCO2e,29,NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,,,,,NVIDIA,英伟达公司,222
scope3_recon_00048,r224_zurichinsurancegroup,,,1.8e-05,,-1.8e-05,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,65,ZURICH INSURANCE GROUP sustainability-report-2024.pdf,,,,,ZURICH INSURANCE GROUP,苏黎世保险集团,224
scope3_recon_00049,r230_bungeglobal,,,3e-06,,-3e-06,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,72,2025-Bunge-Global-Sustainability-Report.pdf,,,,,BUNGE GLOBAL,邦吉公司,230
scope3_recon_00050,r231_anheuserbuschinbev,,,4.64e-06,,-4.64e-06,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,75,20224-ANHEUSER-BUSCH INBEV-sustainability-report,,,,,ANHEUSER-BUSCH INBEV,百威英博,231
scope3_recon_00051,r237_deltaairlines,,,23.119882,,-23.119882,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,57,delta-difference-2024-report.pdf,,,,,DELTA AIR LINES,达美航空,237
scope3_recon_00052,r255_chartercommunications,,,0.957348,,-0.957348,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,22,2023 CHARTER COMMUNICATIONS esg-report.pdf,,,,,CHARTER COMMUNICATIONS,特许通讯公司,255
scope3_recon_00053,r258_bharatpetroleum,,,0.0,,0.0,,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,79,BHARAT PETROLEUM sustainability-report-2023-24.pdf,,,,,BHARAT PETROLEUM,巴拉特石油公司,258
scope3_recon_00054,r260_newyorklifeinsurance,,,0.028430999999999998,0.0354,0.006969000000000003,24.51197636382823,review_delta_gt_5pct,6|13,1|2|3|4|5|7|8|9|10|11|12|14|15,,,tCO2e,54,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,,,,,NEW YORK LIFE INSURANCE,美国纽约人寿保险公司,260
scope3_recon_00055,r262_tjx公司,,,0.0126,,-0.0126,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,68,tjx-2025-global-corporate-responsibility-report.pdf,,,,,TJX,TJX,262
scope3_recon_00056,r263_novartis,,,4e-06,,-4e-06,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,61,novartis-integrated-report-2024.pdf,,,,,NOVARTIS,诺华公司,263
scope3_recon_00057,r264_riotintogroup,,,574.6,1.0,-573.6,-99.8259658893143,review_delta_gt_5pct,10,1|2|3|4|5|6|7|8|9|11|12|13|14|15,,,MtCO2e,60|75,2024-RIO TINTO GROUP-annual-report.pdf,,,,,RIO TINTO GROUP,力拓集团,264
scope3_recon_00058,r266_prudentialfinancial,,,0.25554099999999996,0.056089,-0.19945199999999996,-78.05088028926865,review_delta_gt_5pct,6,1|2|3|4|5|7|8|9|10|11|12|13|14|15,,,tCO2e,46|51,Prudential-s-2024-Sustainability-Report.pdf,,,,,PRUDENTIAL FINANCIAL,保德信金融集团,266
