company_id,company_name,world500_rank,industry_section_code,industry_section_name_zh,industry_section_name_en,primary_ratio_for_bubble,secondary_ratio_for_bubble,unknown_ratio_for_bubble,bubble_evidence_type,fact_count,explicit_ratio_evidence_count,inference_evidence_count,included_in_bubble,bubble_size_metric,bubble_color_bucket
r397_xiaomi,XIAOMI,397,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,1,0,1,false,1,C
r398_compassgroup,COMPASS GROUP,398,H,住宿和餐饮业,Accommodation and Catering,0.5,0.5,0.3333,method_row_source_mix_inference,3,0,3,true,3,H
r399_meijiyasudalifeinsurance,MEIJI YASUDA LIFE INSURANCE,399,J,金融业,Finance,0.5,0.5,0,method_row_source_mix_inference,3,0,3,true,3,J
r400_gsk,GSK,400,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,9,0,9,false,9,C
r401_suncorenergy,SUNCOR ENERGY,401,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",0.5,0.5,0.7143,method_row_source_mix_inference,7,0,7,true,7,D
r403_ubertechnologies公司,Uber Technologies,403,F,批发和零售业,Wholesale and Retail Trade,,,1,method_row_source_mix_inference,4,0,4,false,4,F
r406_suzukimotor,SUZUKI MOTOR,406,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,26,0,26,false,26,C
r407_haiersmarthome,HAIER SMART HOME,407,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,2,0,2,false,2,C
r409_laposte,LA POSTE,409,G,交通运输、仓储和邮政业,"Transport, Storage and Post",,,1,method_row_source_mix_inference,2,0,2,false,2,G
r413_honeywellinternational,HONEYWELL INTERNATIONAL,413,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,4,0,4,false,4,C
r415_sfholding,S.F. HOLDING,415,G,交通运输、仓储和邮政业,"Transport, Storage and Post",,,1,method_row_source_mix_inference,2,0,2,false,2,G
r416_mitsubishielectric,MITSUBISHI ELECTRIC,416,C,制造业,Manufacturing,0.3333,0.6667,0.7857,method_row_source_mix_inference,14,0,14,true,14,C
r421_jardinematheson,JARDINE MATHESON,421,C,制造业,Manufacturing,0.5,0.5,0.75,method_row_source_mix_inference,8,0,8,true,8,C
r422_mondelezinternational,MONDELEZ INTERNATIONAL,422,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,3,0,3,false,3,C
r423_daiwahouseindustry,DAIWA HOUSE INDUSTRY,423,E,建筑业,Construction,0.4375,0.5625,0.7576,method_row_source_mix_inference,33,0,33,true,33,E
r424_starbucks,STARBUCKS,424,H,住宿和餐饮业,Accommodation and Catering,,,1,method_row_source_mix_inference,12,0,12,false,12,H
r425_olamgroup,OLAM GROUP,425,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,4,0,4,false,4,C
r426_qualcomm,QUALCOMM,426,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,14,0,14,false,14,C
r427_broadcom,BROADCOM,427,C,制造业,Manufacturing,0,1,0.9667,method_row_source_mix_inference,30,0,30,true,30,C
r428_jfeholdings,JFE HOLDINGS,428,C,制造业,Manufacturing,0.5,0.5,0.8947,method_row_source_mix_inference,19,0,19,true,19,C
r431_elo集团,ELO,431,F,批发和零售业,Wholesale and Retail Trade,0.1667,0.8333,0.7778,method_row_source_mix_inference,27,0,27,true,27,F
r434_drhorton公司,D.R. Horton,434,E,建筑业,Construction,,,1,method_row_source_mix_inference,3,0,3,false,3,E
r440_philipmorrisinternational,PHILIP MORRIS INTERNATIONAL,440,C,制造业,Manufacturing,0.625,0.375,0.4286,method_row_source_mix_inference,14,0,14,true,14,C
r441_paccar,PACCAR,441,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,5,0,5,false,5,C
r443_crh公司,CRH,443,C,制造业,Manufacturing,,,1,method_row_source_mix_inference,17,0,17,false,17,C
r445_salesforce,SALESFORCE,445,C,制造业,Manufacturing,0.2031,0.7969,0.7193,method_row_source_mix_inference,114,0,114,true,114,C
r446_aiagroup,AIA GROUP,446,J,金融业,Finance,0,1,0,method_row_source_mix_inference,1,0,1,true,1,J
r448_jabil,JABIL,448,C,制造业,Manufacturing,0.5,0.5,0.7778,method_row_source_mix_inference,9,0,9,true,9,C
