fact_type,direct_use,company_id,company_name_en,company_name_zh,world500_rank,scope_en,scope_zh,scope3_category_code,scope3_category_en,scope3_category_zh,basis_en,basis_zh,boundary_en,boundary_zh,value_text,unit_raw,value_mtco2e,acceptance_tier_code,acceptance_tier_en,acceptance_tier_zh,verification_status,verification_reason_en,verification_reason_zh,candidate_quality,priority_level_en,source_layer,source_kind,binding_mode,evidence_page,source_file,source_path,report_title,extraction_rule_en,extraction_rule_zh,snippet_en,snippet_zh
scope_direct_use,True,r007_apple,APPLE,苹果公司,7,Scope 3,范围 3,,,,,,,,,,15.19099,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,105,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\Apple_Environmental_Progress_Report_2025.pdf,Apple Environmental Progress Report 2025,Derived as comprehensive carbon footprint minus disclosed Scope 1 and Scope 2 values.,Derived as comprehensive carbon footprint minus disclosed Scope 1 and Scope 2 values.,Derived as comprehensive carbon footprint minus disclosed Scope 1 and Scope 2 values.,Derived as comprehensive carbon footprint minus disclosed Scope 1 and Scope 2 values.
scope_direct_use,True,r007_apple,APPLE,苹果公司,7,Scope 3,范围 3,,,,,,,,,,35.73,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,auto_verified,,,,,authoritative_structured,,,106,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Apple_Environmental_Progress_Report_2025.pdf,Apple_Environmental_Progress_Report_2025.pdf,Auto-verified from page 106; value 35.73 MMtCO2e.,从第 106 页自动验真；原始值 35.73 MMtCO2e。,Auto-verified from page 106; value 35.73 MMtCO2e.,从第 106 页自动验真；原始值 35.73 MMtCO2e。
scope3_category_value,False,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,,,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,,,Operational control boundary,运营控制边界,"7,778,601",tCO2,,C3,C3 category value candidate inferred from nearby numeric context; review required,C3 类别值由邻近数值上下文推断，需复核,review_required,category candidate quality is not high; unit cannot be normalized to CO2e,类别候选质量不是 high；单位不能稳定折算为 CO2e,medium,medium,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,Scope 3 category row anchoring within the matched report table context; boundary cue: Operational control boundary,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取；边界线索：运营控制边界,"* Denotes 2024 metrics that have been externally assured for the year ended December 31, 2024. Please see our 2024 Assurance Statement. 1 Energy and emissions data is calculated and reported in accordance with the Greenhouse Gas Protocol...","* Denotes 2024 metrics that have been externally assured for the year ended December 31, 2024. Please see our 2024 Assurance Statement. 1 Energy and emissions data is calculated and reported in acc..."
scope3_category_value,False,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,,,4,Category 4 Upstream transportation and distribution,类别4 上游运输与配送,,,Operational control boundary,运营控制边界,"521,337",tCO2e,0.5213369999999999,C2,C2 explicit category value candidate; review required,C2 类别值原文显式，需复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,Scope 3 category row anchoring within the matched report table context; boundary cue: Operational control boundary,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取；边界线索：运营控制边界,"* Denotes 2024 metrics that have been externally assured for the year ended December 31, 2024. Please see our 2024 Assurance Statement. 1 Energy and emissions data is calculated and reported in accordance with the Greenhouse Gas Protocol...","* Denotes 2024 metrics that have been externally assured for the year ended December 31, 2024. Please see our 2024 Assurance Statement. 1 Energy and emissions data is calculated and reported in acc..."
scope_direct_use,True,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 1,范围 1,,,,,,,,,,0.105782,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,UnitedHealth Group Sustainability Report 2024,Mt CO2e; assured scope table.,Mt CO2e; assured scope table.,Mt CO2e; assured scope table.,Mt CO2e; assured scope table.
scope_direct_use,True,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 2,范围 2,,,,Market-Based,市场法,,,,,0.265661,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,UnitedHealth Group Sustainability Report 2024,Mt CO2e; market-based Scope 2 used for the net-zero framing.,Mt CO2e; market-based Scope 2 used for the net-zero framing.,Mt CO2e; market-based Scope 2 used for the net-zero framing.,Mt CO2e; market-based Scope 2 used for the net-zero framing.
scope_direct_use,True,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 3,范围 3,,,,,,,,,,17.977601,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,UnitedHealth Group Sustainability Report 2024,Mt CO2e; full Scope 3 inventory.,Mt CO2e; full Scope 3 inventory.,Mt CO2e; full Scope 3 inventory.,Mt CO2e; full Scope 3 inventory.
scope_direct_use,True,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 3,范围 3,,,,,,,,,,13.811453,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,batch_auto_promoted,,,,,authoritative_structured,,,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,"Auto-extracted from page 82; value 13,811,453 TCO2e.","从第 82 页自动抽取；原始值 13,811,453 TCO2e。","Auto-extracted from page 82; value 13,811,453 TCO2e.","从第 82 页自动抽取；原始值 13,811,453 TCO2e。"
scope3_category_value,False,r011_volkswagen,VOLKSWAGEN,大众公司,11,,,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,,,,,"89,572,138",MtCO2e,89572138.0,C1,C1 explicit category value with industry-comparable coverage; high-priority review,C1 类别值原文显式且具行业可比口径，高优先复核,rule_checked_category_value,"source page, unit, category row anchor and inventory context validated; still kept as category layer",源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,high,high,candidate_scope3_numeric,report_page_scan,scope3_row_anchor,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2023_Volkswagen_Group_Sustainability_Report.pdf,2023_Volkswagen_Group_Sustainability_Report.pdf,Scope 3 category row anchoring within the matched report table context,在已匹配报告的 Scope 3 表格上下文中进行类别行锚定抽取,"66 Decarbonization KPIs Unit 2023 2022 Notes and comments Europe EU27, United Kingdom, Norway and Iceland Gas drives (natural gas and LPG) number of vehicles ­produced/ percentage change 7,104/ -53.4 15,240/ -56.4 Hybrid drives number of...","66 Decarbonization KPIs Unit 2023 2022 Notes and comments Europe EU27, United Kingdom, Norway and Iceland Gas drives (natural gas and LPG) number of vehicles ­produced/ percentage change 7,104/ -53..."
scope_direct_use,True,r011_volkswagen,VOLKSWAGEN,大众公司,11,Scope 1,范围 1,,,,,,,,,,4.03,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2023_Volkswagen_Group_Sustainability_Report.pdf,Volkswagen Group Sustainability Report 2023,Mt CO2e; 2023 absolute emissions.,Mt CO2e; 2023 absolute emissions.,Mt CO2e; 2023 absolute emissions.,Mt CO2e; 2023 absolute emissions.
