evidence_page,relation,source,target
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__gri,standard_role::Disclosure standard
4,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sasb
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sasb,standard_role::Disclosure guideline
4,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__tcfd
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__tcfd,standard_family::Climate disclosure framework
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__tcfd,standard_role::Disclosure recommendation
4,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__esrs_csrd
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__esrs_csrd,standard_role::Disclosure standard
5,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sbti
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sbti,standard_role::Target validation guideline
44,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
67,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__iso_14064
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__iso_14064,standard::ISO 14064
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__iso_14064,standard_family::Other reporting framework
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__iso_14064,standard_role::Guideline
24,documents_standard_reference,report::r037_bankofchina__20240__other,standard_ref::batch_02__r037_bankofchina__20240__other__gb_t_2589_2020
,references_standard,standard_ref::batch_02__r037_bankofchina__20240__other__gb_t_2589_2020,standard::GB/T 2589-2020
,belongs_to_standard_family,standard_ref::batch_02__r037_bankofchina__20240__other__gb_t_2589_2020,standard_family::Chinese national standard system
,has_standard_role,standard_ref::batch_02__r037_bankofchina__20240__other__gb_t_2589_2020,standard_role::Measurement standard
62,documents_standard_reference,report::r037_bankofchina__20240__other,standard_ref::batch_02__r037_bankofchina__20240__other__gri
,references_standard,standard_ref::batch_02__r037_bankofchina__20240__other__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r037_bankofchina__20240__other__gri,standard_family::ESG disclosure framework
