evidence_page,relation,source,target
,publishes,company::r498_瑞士abb集团,report::r498_瑞士abb集团__20240__sustainabilityreport
,matched_to_source,report::r498_瑞士abb集团__20240__sustainabilityreport,source::ABB Sustainability Statement 2024.pdf
,classified_as,company::r498_瑞士abb集团,industry::C
3,documents_standard_reference,report::r498_瑞士abb集团__20240__sustainabilityreport,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__gri
,references_standard,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__gri,standard_role::Disclosure standard
3,documents_standard_reference,report::r498_瑞士abb集团__20240__sustainabilityreport,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sasb
,references_standard,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sasb,standard_role::Disclosure guideline
3,documents_standard_reference,report::r498_瑞士abb集团__20240__sustainabilityreport,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ifrs_s2
,references_standard,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ifrs_s2,standard::IFRS S2
,belongs_to_standard_family,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ifrs_s2,standard_family::Climate disclosure standard
,has_standard_role,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ifrs_s2,standard_role::Disclosure standard
3,documents_standard_reference,report::r498_瑞士abb集团__20240__sustainabilityreport,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__esrs_csrd
,references_standard,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__esrs_csrd,standard::ESRS/CSRD
,belongs_to_standard_family,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__esrs_csrd,standard_family::EU sustainability disclosure regime
,has_standard_role,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__esrs_csrd,standard_role::Disclosure standard
14,documents_standard_reference,report::r498_瑞士abb集团__20240__sustainabilityreport,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sbti
,references_standard,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sbti,standard::SBTi
,belongs_to_standard_family,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sbti,standard_family::Climate target governance system
,has_standard_role,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__sbti,standard_role::Target validation guideline
37,documents_standard_reference,report::r498_瑞士abb集团__20240__sustainabilityreport,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ghg_protocol
,references_standard,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ghg_protocol,standard::GHG Protocol
,belongs_to_standard_family,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ghg_protocol,standard_family::GHG accounting system
,has_standard_role,standard_ref::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__ghg_protocol,standard_role::Accounting standard
31,documents_methodology,report::r498_瑞士abb集团__20240__sustainabilityreport,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p31__inventory__0001
,has_assurance_stage,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p31__inventory__0001,assurance::Report disclosure
,has_activity_category,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p31__inventory__0001,activity::Process emissions
36,documents_methodology,report::r498_瑞士abb集团__20240__sustainabilityreport,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0002
,for_scope,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0002,scope::Scope 1
,has_assurance_stage,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0002,assurance::Report disclosure
,has_calculation_method,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0002,calc_method::Market-based
36,documents_methodology,report::r498_瑞士abb集团__20240__sustainabilityreport,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0003
,for_scope,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0003,scope::Scope 1
,has_assurance_stage,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0003,assurance::Report disclosure
,has_calculation_method,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0003,calc_method::Market-based
,has_activity_category,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0003,activity::Waste in operations
,has_scope3_category,methodology::batch_15__r498_瑞士abb集团__20240__sustainabilityreport__p36__scope_1__0003,scope3::5.0
