evidence_page,relation,source,target
,publishes,company::r122_carrefour,report::r122_carrefour__20240__other
,matched_to_source,report::r122_carrefour__20240__other,source::Carrefour_2024_Universal_Registration_Document.pdf
,publishes,company::r129_chinafawgroup,report::r129_chinafawgroup__20240__other
,matched_to_source,report::r129_chinafawgroup__20240__other,source::China_FAW_2024_Green_Development_Report.pdf
,publishes,company::r149_procterandgamble,report::r149_procterandgamble__20240__annualreport
,matched_to_source,report::r149_procterandgamble__20240__annualreport,source::PG_2024_Annual_Report.pdf
,publishes,company::r156_uspostalservice,report::r156_uspostalservice__20240__impactreport
,matched_to_source,report::r156_uspostalservice__20240__impactreport,source::usps-impact-report-2024.pdf
,publishes,company::r178_statebankofindia,report::r178_statebankofindia__20240__annualreport
,matched_to_source,report::r178_statebankofindia__20240__annualreport,source::State_Bank_of_India_Annual_Report_2024.pdf
,publishes,company::r181_guangzhouautomobileindustrygroup,report::r181_guangzhouautomobileindustrygroup__20240__other
,matched_to_source,report::r181_guangzhouautomobileindustrygroup__20240__other,source::广汽集团2024年社会责任报告.pdf
,publishes,company::r197_rochegroup,report::r197_rochegroup__20240__annualreport
,matched_to_source,report::r197_rochegroup__20240__annualreport,source::Roche_Annual_Report_2024.pdf
,publishes,company::r200_bancobilbaovizcayaargentaria,report::r200_bancobilbaovizcayaargentaria__20240__annualreport
,matched_to_source,report::r200_bancobilbaovizcayaargentaria__20240__annualreport,source::BBVA_Annual_Report_2024_ENG.pdf
,publishes,company::r201_koreaelectricpower,report::r201_koreaelectricpower__20240__sustainabilityreport
,matched_to_source,report::r201_koreaelectricpower__20240__sustainabilityreport,source::(KEPCO)2024SustainabilityReport_Eng.pdf
,publishes,company::r205_deutschebank,report::r205_deutschebank__20240__annualreport
,matched_to_source,report::r205_deutschebank__20240__annualreport,source::Deutsche_Bank_Annual_Report_2024.pdf
,publishes,company::r214_aluminumcorpofchina,report::r214_aluminumcorpofchina__20240__other
,matched_to_source,report::r214_aluminumcorpofchina__20240__other,source::Chinalco_Group_2024_Social_Responsibility_Report.pdf
,publishes,company::r220_nipponsteelcorporation,report::r220_nipponsteelcorporation__20230__sustainabilityreport
