evidence_page,relation,source,target
,publishes,company::r168_torontodominionbank,report::r168_torontodominionbank__20240__sustainabilityreport
,matched_to_source,report::r168_torontodominionbank__20240__sustainabilityreport,source::2024-TORONTO-DOMINION BANK-sustainability-report-en.pdf
,publishes,company::r169_lukoil,report::r169_lukoil__20240__sustainabilityreport
,matched_to_source,report::r169_lukoil__20240__sustainabilityreport,source::LUKOIL Group Sustainability Report 2024.pdf
,publishes,company::r177_alimentationcouchetard公司,report::r177_alimentationcouchetard公司__20250__sustainabilityreport
,matched_to_source,report::r177_alimentationcouchetard公司__20250__sustainabilityreport,source::ALIMENTATION COUCHE-TARD-COTA085_ACT_2025_Sustainability_Report_EN_20250625_v2.pdf
,publishes,company::r179_chinamerchantsbank,report::r179_chinamerchantsbank__20240__sustainabilityreport
,matched_to_source,report::r179_chinamerchantsbank__20240__sustainabilityreport,source::2024-招商银行股份有限公司可持续发展报告.pdf
,publishes,company::r182_ubsgroup,report::r182_ubsgroup__20240__sustainabilityreport
,matched_to_source,report::r182_ubsgroup__20240__sustainabilityreport,source::UBS GROUP-sustainability-report-2024.pdf
,publishes,company::r183_airbus,report::r183_airbus__nan__other
,matched_to_source,report::r183_airbus__nan__other,source::AIRBUS-pm_38_711_711991-us758j55ai.pdf
,publishes,company::r184_toyotatsusho,report::r184_toyotatsusho__20250__other
,matched_to_source,report::r184_toyotatsusho__20250__other,source::TOYOTA TSUSHO-ar2025e_all.pdf
,publishes,company::r186_taiwansemiconductormanufacturing,report::r186_taiwansemiconductormanufacturing__20220__other
,matched_to_source,report::r186_taiwansemiconductormanufacturing__20220__other,source::台积公司2022c-all.pdf
,publishes,company::r189_itaúunibancoholding,report::r189_itaúunibancoholding__20240__esgreport
,matched_to_source,report::r189_itaúunibancoholding__20240__esgreport,source::ITAÚ UNIBANCO HOLDING ESG Report 2024.pdf
,publishes,company::r190_arcelormittal,report::r190_arcelormittal__20240__sustainabilityreport
,matched_to_source,report::r190_arcelormittal__20240__sustainabilityreport,source::arcelormittal_poland_sustainability_report_2024.pdf
,publishes,company::r191_generalelectric,report::r191_generalelectric__20250__sustainabilityreport
,matched_to_source,report::r191_generalelectric__20250__sustainabilityreport,source::GENERAL ELECTRIC-Aerospace 2025-sustainability-report.pdf
