activity_category_en,assurance_stage_en,calculation_method_en,company_id,company_name_en,company_name_zh,data_source_type_en,evidence_page,gbt4754_section_code,gbt4754_section_name_en,gbt4754_section_name_zh,label,match_status,node_id,node_type,page_count,report_id,review_status,scope_en,source_file,standard_name_en,world500_rank,batch_id
,,,,,,,,,,,r016_mckesson__20240__impactreport,matched_auto_high,report::r016_mckesson__20240__impactreport,Report,71,r016_mckesson__20240__impactreport,,,McKesson Impact Report 2024.pdf,,,batch_01
,,,,,,,,,,,McKesson Impact Report 2024.pdf,,source::McKesson Impact Report 2024.pdf,SourceFile,,,,,McKesson Impact Report 2024.pdf,,,batch_01
,,,r018_cencora公司,Cencora公司,Cencora公司,,,,,,Cencora公司,,company::r018_cencora公司,Company,,,,,,,18,batch_01
,,,,,,,,,,,r018_cencora公司__20240__other,matched_auto_high,report::r018_cencora公司__20240__other,Report,22,r018_cencora公司__20240__other,,,Cencora-2024-ent-00435-crsummaryreport-fnl2.pdf,,,batch_01
,,,,,,,,,,,Cencora-2024-ent-00435-crsummaryreport-fnl2.pdf,,source::Cencora-2024-ent-00435-crsummaryreport-fnl2.pdf,SourceFile,,,,,Cencora-2024-ent-00435-crsummaryreport-fnl2.pdf,,,batch_01
,,,r019_trafiguragroup,TRAFIGURA GROUP,托克集团,,,,,,托克集团,,company::r019_trafiguragroup,Company,,,,,,,19,batch_01
,,,,,,,,,,,r019_trafiguragroup__20240__sustainabilityreport,matched_auto_high,report::r019_trafiguragroup__20240__sustainabilityreport,Report,56,r019_trafiguragroup__20240__sustainabilityreport,,,2024_trafigura_sustainability_report.pdf,,,batch_01
,,,,,,,,,,,2024_trafigura_sustainability_report.pdf,,source::2024_trafigura_sustainability_report.pdf,SourceFile,,,,,2024_trafigura_sustainability_report.pdf,,,batch_01
,,,r020_costcowholesale,COSTCO WHOLESALE,开市客,,,,,,开市客,,company::r020_costcowholesale,Company,,,,,,,20,batch_01
,,,,,,,,,,,r020_costcowholesale__nan__climatereport,matched_auto_high,report::r020_costcowholesale__nan__climatereport,Report,15,r020_costcowholesale__nan__climatereport,,,COSTCO WHOLESALE_ClimateActionPlan_FY24.pdf,,,batch_01
,,,,,,,,,,,COSTCO WHOLESALE_ClimateActionPlan_FY24.pdf,,source::COSTCO WHOLESALE_ClimateActionPlan_FY24.pdf,SourceFile,,,,,COSTCO WHOLESALE_ClimateActionPlan_FY24.pdf,,,batch_01
,,,r021_jpmorganchase,JPMORGAN CHASE,摩根大通公司,,,,,,摩根大通公司,,company::r021_jpmorganchase,Company,,,,,,,21,batch_01
,,,,,,,,,,,r021_jpmorganchase__20240__climatereport,matched_auto_high,report::r021_jpmorganchase__20240__climatereport,Report,38,r021_jpmorganchase__20240__climatereport,,,JPMORGAN CHASE-Climate-Report-2024.pdf,,,batch_01
,,,,,,,,,,,JPMORGAN CHASE-Climate-Report-2024.pdf,,source::JPMORGAN CHASE-Climate-Report-2024.pdf,SourceFile,,,,,JPMORGAN CHASE-Climate-Report-2024.pdf,,,batch_01
,,,r023_totalenergies,TOTALENERGIES,道达尔能源公司,,,,,,道达尔能源公司,,company::r023_totalenergies,Company,,,,,,,23,batch_01
,,,,,,,,,,,r023_totalenergies__20250__sustainabilityreport,matched_auto_high,report::r023_totalenergies__20250__sustainabilityreport,Report,120,r023_totalenergies__20250__sustainabilityreport,,,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,batch_01
,,,,,,,,,,,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,source::totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,SourceFile,,,,,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,batch_01
,,,r026_microsoft,MICROSOFT,微软,,,,,,微软,,company::r026_microsoft,Company,,,,,,,26,batch_01
,,,,,,,,,,,r026_microsoft__20250__sustainabilityreport,matched_auto_high,report::r026_microsoft__20250__sustainabilityreport,Report,90,r026_microsoft__20250__sustainabilityreport,,,2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf,,,batch_01
,,,,,,,,,,,2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf,,source::2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf,SourceFile,,,,,2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf,,,batch_01
,,,r027_cardinalhealth,CARDINAL HEALTH,嘉德诺健康集团,,,,,,嘉德诺健康集团,,company::r027_cardinalhealth,Company,,,,,,,27,batch_01
,,,,,,,,,,,r027_cardinalhealth__nan__esgreport,matched_auto_high,report::r027_cardinalhealth__nan__esgreport,Report,107,r027_cardinalhealth__nan__esgreport,,,cardinal-health-fy24-ESG-report.pdf,,,batch_01
,,,,,,,,,,,cardinal-health-fy24-ESG-report.pdf,,source::cardinal-health-fy24-ESG-report.pdf,SourceFile,,,,,cardinal-health-fy24-ESG-report.pdf,,,batch_01
,,,r028_stellantis集团,Stellantis集团,Stellantis集团,,,,,,Stellantis集团,,company::r028_stellantis集团,Company,,,,,,,28,batch_01
,,,,,,,,,,,r028_stellantis集团__20240__climatereport,matched_auto_high,report::r028_stellantis集团__20240__climatereport,Report,46,r028_stellantis集团__20240__climatereport,,,Stellantis-2024-Climate-Policy-Report.pdf,,,batch_01
,,,,,,,,,,,Stellantis-2024-Climate-Policy-Report.pdf,,source::Stellantis-2024-Climate-Policy-Report.pdf,SourceFile,,,,,Stellantis-2024-Climate-Policy-Report.pdf,,,batch_01
,,,r029_chevron,CHEVRON,雪佛龙,,,,,,雪佛龙,,company::r029_chevron,Company,,,,,,,29,batch_01
,,,,,,,,,,,r029_chevron__20240__sustainabilityreport,matched_auto_high,report::r029_chevron__20240__sustainabilityreport,Report,32,r029_chevron__20240__sustainabilityreport,,,chevron-sustainability-highlights-2024.pdf,,,batch_01
,,,,,,,,,,,chevron-sustainability-highlights-2024.pdf,,source::chevron-sustainability-highlights-2024.pdf,SourceFile,,,,,chevron-sustainability-highlights-2024.pdf,,,batch_01
,,,r031_samsungelectronics,SAMSUNG ELECTRONICS,三星电子,,,,,,三星电子,,company::r031_samsungelectronics,Company,,,,,,,31,batch_01
,,,,,,,,,,,r031_samsungelectronics__20240__sustainabilityreport,matched_auto_high,report::r031_samsungelectronics__20240__sustainabilityreport,Report,83,r031_samsungelectronics__20240__sustainabilityreport,,,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,,,batch_01
,,,,,,,,,,,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,,source::SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,SourceFile,,,,,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,,,batch_01
,,,r032_honhaiprecisionindustry,HON HAI PRECISION INDUSTRY,鸿海精密工业股份有限公司,,,,,,鸿海精密工业股份有限公司,,company::r032_honhaiprecisionindustry,Company,,,,,,,32,batch_01
,,,,,,,,,,,r032_honhaiprecisionindustry__20240__other,matched_auto_high,report::r032_honhaiprecisionindustry__20240__other,Report,214,r032_honhaiprecisionindustry__20240__other,,,鸿海精密工业股份有限公司2024 - 中文完整版.pdf,,,batch_01
,,,,,,,,,,,鸿海精密工业股份有限公司2024 - 中文完整版.pdf,,source::鸿海精密工业股份有限公司2024 - 中文完整版.pdf,SourceFile,,,,,鸿海精密工业股份有限公司2024 - 中文完整版.pdf,,,batch_01
,,,r033_cignagroup,CIGNA GROUP,信诺集团,,,,,,信诺集团,,company::r033_cignagroup,Company,,,,,,,33,batch_01
,,,,,,,,,,,r033_cignagroup__20240__impactreport,matched_auto_high,report::r033_cignagroup__20240__impactreport,Report,100,r033_cignagroup__20240__impactreport,,,2024-corporate-impact-report-CIGNA GROUP.pdf,,,batch_01
,,,,,,,,,,,2024-corporate-impact-report-CIGNA GROUP.pdf,,source::2024-corporate-impact-report-CIGNA GROUP.pdf,SourceFile,,,,,2024-corporate-impact-report-CIGNA GROUP.pdf,,,batch_01
,,,r034_agriculturalbankofchina,AGRICULTURAL BANK OF CHINA,中国农业银行股份有限公司,,,,,,中国农业银行股份有限公司,,company::r034_agriculturalbankofchina,Company,,,,,,,34,batch_01
,,,,,,,,,,,r034_agriculturalbankofchina__20240__sustainabilityreport,matched_auto_high,report::r034_agriculturalbankofchina__20240__sustainabilityreport,Report,66,r034_agriculturalbankofchina__20240__sustainabilityreport,,,2024-中国农业银行股份有限公司可持续发展报告.pdf,,,batch_01
,,,,,,,,,,,2024-中国农业银行股份有限公司可持续发展报告.pdf,,source::2024-中国农业银行股份有限公司可持续发展报告.pdf,SourceFile,,,,,2024-中国农业银行股份有限公司可持续发展报告.pdf,,,batch_01
,,,r035_chinarailwayengineeringgroup,CHINA RAILWAY ENGINEERING GROUP,中国铁路工程集团有限公司,,,,,,中国铁路工程集团有限公司,,company::r035_chinarailwayengineeringgroup,Company,,,,,,,35,batch_01
,,,,,,,,,,,r035_chinarailwayengineeringgroup__20210__other,matched_auto_high,report::r035_chinarailwayengineeringgroup__20210__other,Report,105,r035_chinarailwayengineeringgroup__20210__other,,,2021中国铁路工程集团有限公司ESG报告.pdf,,,batch_01
,,,,,,,,,,,2021中国铁路工程集团有限公司ESG报告.pdf,,source::2021中国铁路工程集团有限公司ESG报告.pdf,SourceFile,,,,,2021中国铁路工程集团有限公司ESG报告.pdf,,,batch_01
,,,,,,,2,,,,batch_01__r001_walmart__20250__esgreport__ifrs_s2,,standard_ref::batch_01__r001_walmart__20250__esgreport__ifrs_s2,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,7,,,,batch_01__r001_walmart__20250__esgreport__ghg_protocol,,standard_ref::batch_01__r001_walmart__20250__esgreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,7,,,,batch_01__r001_walmart__20250__esgreport__iso_14064_3,,standard_ref::batch_01__r001_walmart__20250__esgreport__iso_14064_3,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,30,,,,batch_01__r001_walmart__20250__esgreport__sbti,,standard_ref::batch_01__r001_walmart__20250__esgreport__sbti,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,101,,,,batch_01__r001_walmart__20250__esgreport__gri,,standard_ref::batch_01__r001_walmart__20250__esgreport__gri,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,102,,,,batch_01__r001_walmart__20250__esgreport__sasb,,standard_ref::batch_01__r001_walmart__20250__esgreport__sasb,StandardReference,,,seed_batch_01,,,,,batch_01
,,,,,,,2,,,,batch_01__r004_saudiaramco__20240__sustainabilityreport__ghg_protocol,,standard_ref::batch_01__r004_saudiaramco__20240__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_01,,,,,batch_01
