evidence_page,relation,source,target
,publishes,company::r257_edekazentrale,report::r257_edekazentrale__20230__other
,matched_to_source,report::r257_edekazentrale__20230__other,source::edeka_group_company_report_2023__english_version-2.pdf
,publishes,company::r266_prudentialfinancial,report::r266_prudentialfinancial__20240__sustainabilityreport
,matched_to_source,report::r266_prudentialfinancial__20240__sustainabilityreport,source::Prudential-s-2024-Sustainability-Report.pdf
,publishes,company::r269_hp,report::r269_hp__20240__sustainabilityreport
,matched_to_source,report::r269_hp__20240__sustainabilityreport,source::2024_HP_sustainability_report.pdf
,publishes,company::r271_tatamotors,report::r271_tatamotors__20240__other
,matched_to_source,report::r271_tatamotors__20240__other,source::tata-motor-IAR-2024-25.pdf
,publishes,company::r290_phoenixpharma,report::r290_phoenixpharma__20240__sustainabilityreport
,matched_to_source,report::r290_phoenixpharma__20240__sustainabilityreport,source::PHOENIX_Sustainability_Report_2024_25.pdf
,publishes,company::r308_veoliaenvironnement,report::r308_veoliaenvironnement__20240__esgreport
,matched_to_source,report::r308_veoliaenvironnement__20240__esgreport,source::veolia-2024-esg-report.pdf
,publishes,company::r323_anzgroupholdings,report::r323_anzgroupholdings__20240__esgreport
,matched_to_source,report::r323_anzgroupholdings__20240__esgreport,source::anz-2024-esg-supplement.pdf
,publishes,company::r333_tiaa,report::r333_tiaa__20240__climatereport
,matched_to_source,report::r333_tiaa__20240__climatereport,source::TIAA climate_report_2024.pdf
,publishes,company::r346_dow,report::r346_dow__20240__other
,matched_to_source,report::r346_dow__20240__other,source::DOW-2024-progress-report.pdf
,publishes,company::r357_magnainternational,report::r357_magnainternational__20240__sustainabilityreport
,matched_to_source,report::r357_magnainternational__20240__sustainabilityreport,source::101227_magna_sustainabilityreport_fy2024_final_cda.pdf
,publishes,company::r358_omvgroup,report::r358_omvgroup__nan__other
,matched_to_source,report::r358_omvgroup__nan__other,source::entire-omv-ar24.pdf
,publishes,company::r363_vale,report::r363_vale__20240__other
,matched_to_source,report::r363_vale__20240__other,source::VALE Relato Integrado Vale 2024.pdf
,publishes,company::r375_pegatron,report::r375_pegatron__20230__annualreport
,matched_to_source,report::r375_pegatron__20230__annualreport,source::和硕年度报告2023.pdf
,publishes,company::r376_abbottlaboratories,report::r376_abbottlaboratories__20240__sustainabilityreport
,matched_to_source,report::r376_abbottlaboratories__20240__sustainabilityreport,source::Abbott-2024-Global-Sustainability-Report-June-2025.pdf
,publishes,company::r384_meituan,report::r384_meituan__20240__other
,matched_to_source,report::r384_meituan__20240__other,source::美团2024 corporate social responsibility report.pdf
,publishes,company::r391_西班牙acs集团,report::r391_西班牙acs集团__20240__sustainabilityreport
,matched_to_source,report::r391_西班牙acs集团__20240__sustainabilityreport,source::2024_ACS_Sustainability_Report.pdf
,publishes,company::r395_pbfenergy公司,report::r395_pbfenergy公司__20240__sustainabilityreport
,matched_to_source,report::r395_pbfenergy公司__20240__sustainabilityreport,source::2024-PBF-Sustainability-Report.pdf
,publishes,company::r415_sfholding,report::r415_sfholding__20240__sustainabilityreport
,matched_to_source,report::r415_sfholding__20240__sustainabilityreport,source::顺丰控股2024年度可持续发展报告.pdf
,publishes,company::r444_quantacomputer,report::r444_quantacomputer__20230__other
,matched_to_source,report::r444_quantacomputer__20230__other,source::Quanta_ESG_CN_2023.pdf
,publishes,company::r457_molinahealthcare公司,report::r457_molinahealthcare公司__20240__other
,matched_to_source,report::r457_molinahealthcare公司__20240__other,source::Molina Responsibility Report 2024_final.pdf
,publishes,company::r473_vtbbank,report::r473_vtbbank__20240__sustainabilityreport
,matched_to_source,report::r473_vtbbank__20240__sustainabilityreport,source::vtb_sustainability_report_2024_eng.pdf
,publishes,company::r477_truistfinancial公司,report::r477_truistfinancial公司__20240__sustainabilityreport
,matched_to_source,report::r477_truistfinancial公司__20240__sustainabilityreport,source::Truist2024CorporateResponsibilityAndSustainability.pdf
,publishes,company::r489_3m公司,report::r489_3m公司__20250__impactreport
,matched_to_source,report::r489_3m公司__20250__impactreport,source::3m-2025-global-impact-report.pdf
,publishes,company::r491_apolloglobalmanagement,report::r491_apolloglobalmanagement__20240__sustainabilityreport
,matched_to_source,report::r491_apolloglobalmanagement__20240__sustainabilityreport,source::apollo-2024-sustainability-report-june-2025.pdf
,publishes,company::r493_vibraenergia公司,report::r493_vibraenergia公司__20240__other
,matched_to_source,report::r493_vibraenergia公司__20240__other,source::Relatório Integrado_Vibra_2024_PTBR.pdf
,classified_as,company::r257_edekazentrale,industry::F
,classified_as,company::r266_prudentialfinancial,industry::J
,classified_as,company::r269_hp,industry::C
,classified_as,company::r271_tatamotors,industry::C
,classified_as,company::r290_phoenixpharma,industry::F
,classified_as,company::r308_veoliaenvironnement,industry::I
,classified_as,company::r323_anzgroupholdings,industry::J
,classified_as,company::r333_tiaa,industry::J
,classified_as,company::r346_dow,industry::C
,classified_as,company::r357_magnainternational,industry::C
,classified_as,company::r358_omvgroup,industry::D
,classified_as,company::r363_vale,industry::B
,classified_as,company::r375_pegatron,industry::C
