confidence_level,evidence_page,relation,review_status,section_role,source,target,batch_id
,,reports_energy_consumption,,,company::r113_brookfield,energy_record::r113_brookfield_energy_electricity_consumption_p95,batch_03
,,reports_energy_consumption,,,company::r115_johnsonandjohnson,energy_record::r115_johnsonandjohnson_energy_total_energy_consumption_p5,batch_03
,,reports_energy_consumption,,,company::r116_indianoil,energy_record::r116_indianoil_energy_renewable_energy_p31,batch_03
,,reports_energy_consumption,,,company::r116_indianoil,energy_record::r116_indianoil_energy_fuel_consumption_p31,batch_03
,,reports_energy_consumption,,,company::r116_indianoil,energy_record::r116_indianoil_energy_electricity_consumption_p119,batch_03
,,reports_energy_consumption,,,company::r117_adm公司,energy_record::r117_adm公司_energy_total_energy_consumption_p26,batch_03
,,reports_energy_consumption,,,company::r120_nippontelegraphandtelephone,energy_record::r120_nippontelegraphandtelephone_energy_electricity_consumption_p35,batch_03
,,reports_energy_consumption,,,company::r120_nippontelegraphandtelephone,energy_record::r120_nippontelegraphandtelephone_energy_renewable_energy_p36,batch_03
,,reports_energy_consumption,,,company::r120_nippontelegraphandtelephone,energy_record::r120_nippontelegraphandtelephone_energy_fuel_consumption_p35,batch_03
,,reports_energy_consumption,,,company::r123_pepsico,energy_record::r123_pepsico_energy_electricity_consumption_p3,batch_03
,,reports_energy_consumption,,,company::r123_pepsico,energy_record::r123_pepsico_energy_renewable_energy_p3,batch_03
,,reports_energy_consumption,,,company::r127_fedex,energy_record::r127_fedex_energy_renewable_energy_p25,batch_03
,,reports_energy_consumption,,,company::r127_fedex,energy_record::r127_fedex_energy_electricity_consumption_p25,batch_03
,,reports_energy_consumption,,,company::r130_engie集团,energy_record::r130_engie集团_energy_renewable_energy_p82,batch_03
,,reports_energy_consumption,,,company::r130_engie集团,energy_record::r130_engie集团_energy_natural_gas_p406,batch_03
,,reports_energy_consumption,,,company::r130_engie集团,energy_record::r130_engie集团_energy_electricity_consumption_p82,batch_03
,,reports_energy_consumption,,,company::r130_engie集团,energy_record::r130_engie集团_energy_total_energy_consumption_p223,batch_03
,,uses_economic_instrument,,,company::r079_uniper公司,economic_instrument::r079_uniper公司_econ_low_carbon_capex_p9,batch_03
,,uses_economic_instrument,,,company::r079_uniper公司,economic_instrument::r079_uniper公司_econ_carbon_credit_p20,batch_03
,,uses_economic_instrument,,,company::r082_allianz,economic_instrument::r082_allianz_econ_low_carbon_capex_p69,batch_03
,,uses_economic_instrument,,,company::r082_allianz,economic_instrument::r082_allianz_econ_carbon_credit_p76,batch_03
,,uses_economic_instrument,,,company::r082_allianz,economic_instrument::r082_allianz_econ_emission_trading_p100,batch_03
,,uses_economic_instrument,,,company::r084_chinaenergyinvestment,economic_instrument::r084_chinaenergyinvestment_econ_emission_trading_p26,batch_03
,,uses_economic_instrument,,,company::r085_xiamencandd,economic_instrument::r085_xiamencandd_econ_low_carbon_capex_p17,batch_03
,,uses_economic_instrument,,,company::r085_xiamencandd,economic_instrument::r085_xiamencandd_econ_carbon_tax_p17,batch_03
,,uses_economic_instrument,,,company::r086_relianceindustries,economic_instrument::r086_relianceindustries_econ_low_carbon_capex_p12,batch_03
,,uses_economic_instrument,,,company::r089_rosneftoil,economic_instrument::r089_rosneftoil_econ_low_carbon_capex_p13,batch_03
,,uses_economic_instrument,,,company::r089_rosneftoil,economic_instrument::r089_rosneftoil_econ_carbon_tax_p13,batch_03
,,uses_economic_instrument,,,company::r090_target,economic_instrument::r090_target_econ_internal_carbon_price_p44,batch_03
,,uses_economic_instrument,,,company::r091_equinor公司,economic_instrument::r091_equinor公司_econ_low_carbon_capex_p7,batch_03
,,uses_economic_instrument,,,company::r091_equinor公司,economic_instrument::r091_equinor公司_econ_internal_carbon_price_p55,batch_03
,,uses_economic_instrument,,,company::r091_equinor公司,economic_instrument::r091_equinor公司_econ_carbon_tax_p102,batch_03
,,uses_economic_instrument,,,company::r091_equinor公司,economic_instrument::r091_equinor公司_econ_carbon_credit_p108,batch_03
,,uses_economic_instrument,,,company::r091_equinor公司,economic_instrument::r091_equinor公司_econ_emission_trading_p111,batch_03
,,uses_economic_instrument,,,company::r096_nestlé,economic_instrument::r096_nestl_econ_carbon_tax_p12,batch_03
,,uses_economic_instrument,,,company::r096_nestlé,economic_instrument::r096_nestl_econ_carbon_credit_p40,batch_03
,,uses_economic_instrument,,,company::r096_nestlé,economic_instrument::r096_nestl_econ_emission_trading_p40,batch_03
,,uses_economic_instrument,,,company::r107_itochu,economic_instrument::r107_itochu_econ_carbon_credit_p17,batch_03
,,uses_economic_instrument,,,company::r107_itochu,economic_instrument::r107_itochu_econ_low_carbon_capex_p25,batch_03
,,uses_economic_instrument,,,company::r107_itochu,economic_instrument::r107_itochu_econ_carbon_tax_p50,batch_03
,,uses_economic_instrument,,,company::r108_powerchina,economic_instrument::r108_powerchina_econ_low_carbon_capex_p34,batch_03
,,uses_economic_instrument,,,company::r108_powerchina,economic_instrument::r108_powerchina_econ_emission_trading_p34,batch_03
,,uses_economic_instrument,,,company::r111_morganstanley,economic_instrument::r111_morganstanley_econ_low_carbon_capex_p6,batch_03
,,uses_economic_instrument,,,company::r111_morganstanley,economic_instrument::r111_morganstanley_econ_carbon_credit_p10,batch_03
,,uses_economic_instrument,,,company::r111_morganstanley,economic_instrument::r111_morganstanley_econ_carbon_tax_p52,batch_03
,,uses_economic_instrument,,,company::r112_sinopharm,economic_instrument::r112_sinopharm_econ_emission_trading_p34,batch_03
,,uses_economic_instrument,,,company::r113_brookfield,economic_instrument::r113_brookfield_econ_low_carbon_capex_p29,batch_03
,,uses_economic_instrument,,,company::r113_brookfield,economic_instrument::r113_brookfield_econ_carbon_credit_p33,batch_03
,,uses_economic_instrument,,,company::r116_indianoil,economic_instrument::r116_indianoil_econ_low_carbon_capex_p4,batch_03
,,uses_economic_instrument,,,company::r116_indianoil,economic_instrument::r116_indianoil_econ_carbon_credit_p9,batch_03
,,uses_economic_instrument,,,company::r120_nippontelegraphandtelephone,economic_instrument::r120_nippontelegraphandtelephone_econ_internal_carbon_price_p39,batch_03
,,uses_economic_instrument,,,company::r120_nippontelegraphandtelephone,economic_instrument::r120_nippontelegraphandtelephone_econ_carbon_tax_p39,batch_03
,,uses_economic_instrument,,,company::r120_nippontelegraphandtelephone,economic_instrument::r120_nippontelegraphandtelephone_econ_carbon_credit_p40,batch_03
,,uses_economic_instrument,,,company::r121_mitsui,economic_instrument::r121_mitsui_econ_carbon_credit_p33,batch_03
,,uses_economic_instrument,,,company::r121_mitsui,economic_instrument::r121_mitsui_econ_low_carbon_capex_p85,batch_03
,,uses_economic_instrument,,,company::r123_pepsico,economic_instrument::r123_pepsico_econ_carbon_credit_p22,batch_03
,,uses_economic_instrument,,,company::r123_pepsico,economic_instrument::r123_pepsico_econ_low_carbon_capex_p22,batch_03
,,uses_economic_instrument,,,company::r127_fedex,economic_instrument::r127_fedex_econ_carbon_credit_p16,batch_03
,,uses_economic_instrument,,,company::r130_engie集团,economic_instrument::r130_engie集团_econ_low_carbon_capex_p27,batch_03
,,uses_economic_instrument,,,company::r130_engie集团,economic_instrument::r130_engie集团_econ_carbon_credit_p41,batch_03
,,uses_economic_instrument,,,company::r130_engie集团,economic_instrument::r130_engie集团_econ_emission_trading_p49,batch_03
,,publishes,,,company::r131_waltdisney,report::r131_waltdisney__20240__other,batch_04
,,matched_to_source,,,report::r131_waltdisney__20240__other,source::华特迪士尼公司_2024_ssi_report_pdf,batch_04
,,publishes,,,company::r132_orlen,report::r132_orlen__20240__other,batch_04
,,matched_to_source,,,report::r132_orlen__20240__other,source::management_board_on_the_operations_of_orlen_group_2024_pdf_coredownload_pdf,batch_04
,,publishes,,,company::r133_delltechnologies,report::r133_delltechnologies__nan__esgreport,batch_04
,,matched_to_source,,,report::r133_delltechnologies__nan__esgreport,source::dell中国delltechnologies_esg_fy24_performance_metrics_pdf,batch_04
,,publishes,,,company::r134_dhlgroup,report::r134_dhlgroup__20240__sustainabilityreport,batch_04
,,matched_to_source,,,report::r134_dhlgroup__20240__sustainabilityreport,source::dhl_group_2024_progress_report_on_sustainability_pdf,batch_04
,,publishes,,,company::r135_chinatelecommunications,report::r135_chinatelecommunications__20240__sustainabilityreport,batch_04
,,matched_to_source,,,report::r135_chinatelecommunications__20240__sustainabilityreport,source::2024_中国电信集团有限公司可持续发展报告_pdf,batch_04
,,publishes,,,company::r136_nissanmotor,report::r136_nissanmotor__nan__other,batch_04
,,matched_to_source,,,report::r136_nissanmotor__nan__other,source::nissan_motor_db25_e_all_pdf,batch_04
,,publishes,,,company::r137_royalbankofcanada,report::r137_royalbankofcanada__20240__sustainabilityreport,batch_04
,,matched_to_source,,,report::r137_royalbankofcanada__20240__sustainabilityreport,source::royal_bank_of_canada_rbc_2024_sustainability_report_pdf,batch_04
,,publishes,,,company::r139_lowes,report::r139_lowes__20240__other,batch_04
,,matched_to_source,,,report::r139_lowes__20240__other,source::lowes_2024_crr_6_30_25_1_0_pdf,batch_04
,,publishes,,,company::r140_tesco,report::r140_tesco__20250__sustainabilityreport,batch_04
,,matched_to_source,,,report::r140_tesco__20250__sustainabilityreport,source::tesco_sustainability_report_2025_pdf,batch_04
,,publishes,,,company::r143_byd,report::r143_byd__20240__sustainabilityreport,batch_04
,,matched_to_source,,,report::r143_byd__20240__sustainabilityreport,source::比亚迪年度可持续报告2024_pdf,batch_04
,,publishes,,,company::r144_nipponlifeinsurance,report::r144_nipponlifeinsurance__20240__sustainabilityreport,batch_04
,,matched_to_source,,,report::r144_nipponlifeinsurance__20240__sustainabilityreport,source::nippon_life_insurance_2024_sustainability_report_pdf,batch_04
,,publishes,,,company::r145_siemens,report::r145_siemens__20240__sustainabilityreport,batch_04
,,matched_to_source,,,report::r145_siemens__20240__sustainabilityreport,source::siemens_energy_sustainability_report_2024_pdf_original_20file_pdf,batch_04
,,publishes,,,company::r146_japanpostholdings,report::r146_japanpostholdings__20230__other,batch_04
,,matched_to_source,,,report::r146_japanpostholdings__20230__other,source::日本邮政控股公司_2023_all_pdf,batch_04
,,publishes,,,company::r148_mitsubishiufjfinancialgroup,report::r148_mitsubishiufjfinancialgroup__20240__other,batch_04
,,matched_to_source,,,report::r148_mitsubishiufjfinancialgroup__20240__other,source::mitsubishi_ufj_financial_group_2024_en_pdf,batch_04
,,publishes,,,company::r150_wuchanzhongdagroup,report::r150_wuchanzhongdagroup__20240__other,batch_04
,,matched_to_source,,,report::r150_wuchanzhongdagroup__20240__other,source::2024物产中大集团股份有限公司环境_社会及治理报告_pdf,batch_04
,,publishes,,,company::r151_sevenandi控股公司,report::r151_sevenandi控股公司__20240__other,batch_04
,,matched_to_source,,,report::r151_sevenandi控股公司__20240__other,source::seven_i_控股公司_2024_all_01_pdf,batch_04
,,publishes,,,company::r152_albertsons,report::r152_albertsons__20200__other,batch_04
,,matched_to_source,,,report::r152_albertsons__20200__other,source::albertsons_aci2020ada_download_pdf,batch_04
,,publishes,,,company::r154_bankofcommunications,report::r154_bankofcommunications__20240__other,batch_04
,,matched_to_source,,,report::r154_bankofcommunications__20240__other,source::2024交通银行股份有限公司esg报告_pdf,batch_04
,,publishes,,,company::r157_jiangxicopper,report::r157_jiangxicopper__20240__other,batch_04
,,matched_to_source,,,report::r157_jiangxicopper__20240__other,source::2024江西铜业集团有限公司环境_社会及管治报告_pdf,batch_04
,,publishes,,,company::r158_peoplesinsurancecoofchina,report::r158_peoplesinsurancecoofchina__20240__sustainabilityreport,batch_04
,,matched_to_source,,,report::r158_peoplesinsurancecoofchina__20240__sustainabilityreport,source::2024_中国人民保险集团股份有限公司可持续发展报告_pdf,batch_04
,,publishes,,,company::r159_boeing,report::r159_boeing__20250__sustainabilityreport,batch_04
,,matched_to_source,,,report::r159_boeing__20250__sustainabilityreport,source::2025_boeing_sustainability_report_pdf,batch_04
,,publishes,,,company::r163_sysco,report::r163_sysco__nan__sustainabilityreport,batch_04
,,matched_to_source,,,report::r163_sysco__nan__sustainabilityreport,source::sysco_fy24_sustainability_report_pdf,batch_04
,,publishes,,,company::r164_daiichilifeholdings,report::r164_daiichilifeholdings__20240__other,batch_04
,,matched_to_source,,,report::r164_daiichilifeholdings__20240__other,source::2024_dai_ichi_life_holdings_index_001_pdf,batch_04
,,publishes,,,company::r165_pertamina,report::r165_pertamina__nan__other,batch_04
,,matched_to_source,,,report::r165_pertamina__nan__other,source::pertamina_full_sr_phe_24_09_01_web_version_1_pdf,batch_04
,,publishes,,,company::r166_vinci,report::r166_vinci__20240__other,batch_04
,,matched_to_source,,,report::r166_vinci__20240__other,source::vinci_2024_workforce_related_environmental_and_social_information_pdf,batch_04
,,classified_as_industry_section,,primary,company::r131_waltdisney,industry::r,batch_04
,,classified_as_industry_section,,primary,company::r132_orlen,industry::d,batch_04
,,classified_as_industry_section,,primary,company::r133_delltechnologies,industry::c,batch_04
,,classified_as_industry_section,,primary,company::r134_dhlgroup,industry::g,batch_04
,,classified_as_industry_section,,primary,company::r135_chinatelecommunications,industry::i,batch_04
,,classified_as_industry_section,,primary,company::r136_nissanmotor,industry::c,batch_04
,,classified_as_industry_section,,primary,company::r137_royalbankofcanada,industry::j,batch_04
,,classified_as_industry_section,,primary,company::r139_lowes,industry::f,batch_04
,,classified_as_industry_section,,primary,company::r140_tesco,industry::f,batch_04
,,classified_as_industry_section,,primary,company::r143_byd,industry::c,batch_04
,,classified_as_industry_section,,primary,company::r144_nipponlifeinsurance,industry::j,batch_04
,,classified_as_industry_section,,primary,company::r145_siemens,industry::c,batch_04
,,classified_as_industry_section,,primary,company::r146_japanpostholdings,industry::j,batch_04
,,classified_as_industry_section,,primary,company::r148_mitsubishiufjfinancialgroup,industry::j,batch_04
,,classified_as_industry_section,,primary,company::r150_wuchanzhongdagroup,industry::l,batch_04
,,classified_as_industry_section,,primary,company::r151_sevenandi控股公司,industry::f,batch_04
,,classified_as_industry_section,,primary,company::r152_albertsons,industry::f,batch_04
,,classified_as_industry_section,,primary,company::r154_bankofcommunications,industry::j,batch_04
,,classified_as_industry_section,,primary,company::r157_jiangxicopper,industry::c,batch_04
,,classified_as_industry_section,,primary,company::r158_peoplesinsurancecoofchina,industry::j,batch_04
,,classified_as_industry_section,,primary,company::r159_boeing,industry::c,batch_04
,,classified_as_industry_section,,primary,company::r163_sysco,industry::f,batch_04
,,classified_as_industry_section,,primary,company::r164_daiichilifeholdings,industry::j,batch_04
,,classified_as_industry_section,,primary,company::r165_pertamina,industry::d,batch_04
,,classified_as_industry_section,,primary,company::r166_vinci,industry::e,batch_04
medium,3,documents_standard_reference,seed_batch_04,,report::r131_waltdisney__20240__other,standard_ref::batch_04_r131_waltdisney_20240_other_sasb,batch_04
,,references_standard,,,standard_ref::batch_04_r131_waltdisney_20240_other_sasb,standard::sasb,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r131_waltdisney_20240_other_sasb,standard_family::industry_disclosure_framework,batch_04
,,has_standard_role,,,standard_ref::batch_04_r131_waltdisney_20240_other_sasb,standard_role::disclosure_guideline,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_sasb,principle::financial_materiality,batch_04
medium,3,documents_standard_reference,seed_batch_04,,report::r131_waltdisney__20240__other,standard_ref::batch_04_r131_waltdisney_20240_other_tcfd,batch_04
,,references_standard,,,standard_ref::batch_04_r131_waltdisney_20240_other_tcfd,standard::tcfd,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r131_waltdisney_20240_other_tcfd,standard_family::climate_disclosure_framework,batch_04
,,has_standard_role,,,standard_ref::batch_04_r131_waltdisney_20240_other_tcfd,standard_role::disclosure_recommendation,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_tcfd,principle::consistency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_tcfd,principle::materiality,batch_04
medium,21,documents_standard_reference,seed_batch_04,,report::r131_waltdisney__20240__other,standard_ref::batch_04_r131_waltdisney_20240_other_sbti,batch_04
,,references_standard,,,standard_ref::batch_04_r131_waltdisney_20240_other_sbti,standard::sbti,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r131_waltdisney_20240_other_sbti,standard_family::climate_target_governance_system,batch_04
,,has_standard_role,,,standard_ref::batch_04_r131_waltdisney_20240_other_sbti,standard_role::target_validation_guideline,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_sbti,principle::science_based_ambition,batch_04
medium,23,documents_standard_reference,seed_batch_04,,report::r131_waltdisney__20240__other,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,batch_04
,,references_standard,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,standard::ghg_protocol,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,standard_family::ghg_accounting_system,batch_04
,,has_standard_role,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,standard_role::accounting_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,principle::relevance,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,principle::completeness,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,principle::consistency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,principle::transparency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r131_waltdisney_20240_other_ghg_protocol,principle::accuracy,batch_04
medium,3,documents_standard_reference,seed_batch_04,,report::r132_orlen__20240__other,standard_ref::batch_04_r132_orlen_20240_other_esrs_csrd,batch_04
,,references_standard,,,standard_ref::batch_04_r132_orlen_20240_other_esrs_csrd,standard::esrs_csrd,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r132_orlen_20240_other_esrs_csrd,standard_family::eu_sustainability_disclosure_regime,batch_04
,,has_standard_role,,,standard_ref::batch_04_r132_orlen_20240_other_esrs_csrd,standard_role::disclosure_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r132_orlen_20240_other_esrs_csrd,principle::comparability,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r132_orlen_20240_other_esrs_csrd,principle::double_materiality,batch_04
medium,119,documents_standard_reference,seed_batch_04,,report::r132_orlen__20240__other,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,batch_04
,,references_standard,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,standard::ghg_protocol,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,standard_family::ghg_accounting_system,batch_04
,,has_standard_role,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,standard_role::accounting_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,principle::relevance,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,principle::completeness,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,principle::consistency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,principle::transparency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r132_orlen_20240_other_ghg_protocol,principle::accuracy,batch_04
medium,1,documents_standard_reference,seed_batch_04,,report::r133_delltechnologies__nan__esgreport,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_gri,batch_04
,,references_standard,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_gri,standard::gri,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_gri,standard_family::esg_disclosure_framework,batch_04
,,has_standard_role,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_gri,standard_role::disclosure_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_gri,principle::materiality,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_gri,principle::comparability,batch_04
medium,1,documents_standard_reference,seed_batch_04,,report::r133_delltechnologies__nan__esgreport,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_sasb,batch_04
,,references_standard,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_sasb,standard::sasb,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_sasb,standard_family::industry_disclosure_framework,batch_04
,,has_standard_role,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_sasb,standard_role::disclosure_guideline,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r133_delltechnologies_nan_esgreport_sasb,principle::financial_materiality,batch_04
medium,16,documents_standard_reference,seed_batch_04,,report::r134_dhlgroup__20240__sustainabilityreport,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_esrs_csrd,batch_04
,,references_standard,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_esrs_csrd,standard::esrs_csrd,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_esrs_csrd,standard_family::eu_sustainability_disclosure_regime,batch_04
,,has_standard_role,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_esrs_csrd,standard_role::disclosure_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_esrs_csrd,principle::comparability,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_esrs_csrd,principle::double_materiality,batch_04
medium,27,documents_standard_reference,seed_batch_04,,report::r134_dhlgroup__20240__sustainabilityreport,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,batch_04
,,references_standard,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,standard::ghg_protocol,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,standard_family::ghg_accounting_system,batch_04
,,has_standard_role,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,standard_role::accounting_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,principle::relevance,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,principle::completeness,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,principle::consistency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,principle::transparency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_ghg_protocol,principle::accuracy,batch_04
medium,47,documents_standard_reference,seed_batch_04,,report::r134_dhlgroup__20240__sustainabilityreport,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_sbti,batch_04
,,references_standard,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_sbti,standard::sbti,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_sbti,standard_family::climate_target_governance_system,batch_04
,,has_standard_role,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_sbti,standard_role::target_validation_guideline,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r134_dhlgroup_20240_sustainabilityreport_sbti,principle::science_based_ambition,batch_04
medium,2,documents_standard_reference,seed_batch_04,,report::r135_chinatelecommunications__20240__sustainabilityreport,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gri,batch_04
,,references_standard,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gri,standard::gri,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gri,standard_family::esg_disclosure_framework,batch_04
,,has_standard_role,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gri,standard_role::disclosure_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gri,principle::materiality,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gri,principle::comparability,batch_04
medium,2,documents_standard_reference,seed_batch_04,,report::r135_chinatelecommunications__20240__sustainabilityreport,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gb_t_36001_2015,batch_04
,,references_standard,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gb_t_36001_2015,standard::gb_t_36001_2015,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gb_t_36001_2015,standard_family::chinese_national_standard_system,batch_04
,,has_standard_role,,,standard_ref::batch_04_r135_chinatelecommunications_20240_sustainabilityreport_gb_t_36001_2015,standard_role::guideline,batch_04
medium,2,documents_standard_reference,seed_batch_04,,report::r136_nissanmotor__nan__other,standard_ref::batch_04_r136_nissanmotor_nan_other_gri,batch_04
,,references_standard,,,standard_ref::batch_04_r136_nissanmotor_nan_other_gri,standard::gri,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r136_nissanmotor_nan_other_gri,standard_family::esg_disclosure_framework,batch_04
,,has_standard_role,,,standard_ref::batch_04_r136_nissanmotor_nan_other_gri,standard_role::disclosure_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_gri,principle::materiality,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_gri,principle::comparability,batch_04
medium,2,documents_standard_reference,seed_batch_04,,report::r136_nissanmotor__nan__other,standard_ref::batch_04_r136_nissanmotor_nan_other_tcfd,batch_04
,,references_standard,,,standard_ref::batch_04_r136_nissanmotor_nan_other_tcfd,standard::tcfd,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r136_nissanmotor_nan_other_tcfd,standard_family::climate_disclosure_framework,batch_04
,,has_standard_role,,,standard_ref::batch_04_r136_nissanmotor_nan_other_tcfd,standard_role::disclosure_recommendation,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_tcfd,principle::consistency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_tcfd,principle::materiality,batch_04
medium,63,documents_standard_reference,seed_batch_04,,report::r136_nissanmotor__nan__other,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,batch_04
,,references_standard,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,standard::ghg_protocol,batch_04
,,belongs_to_standard_family,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,standard_family::ghg_accounting_system,batch_04
,,has_standard_role,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,standard_role::accounting_standard,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,principle::relevance,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,principle::completeness,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,principle::consistency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,principle::transparency,batch_04
,,has_accounting_principle,,,standard_ref::batch_04_r136_nissanmotor_nan_other_ghg_protocol,principle::accuracy,batch_04
