evidence_page,relation,source,target
,publishes,company::r001_walmart,report::r001_walmart__20250__esgreport
,matched_to_source,report::r001_walmart__20250__esgreport,source::FY2025-Walmart-ESG-Report.pdf
,publishes,company::r004_saudiaramco,report::r004_saudiaramco__20240__sustainabilityreport
,matched_to_source,report::r004_saudiaramco__20240__sustainabilityreport,source::2024-saudi-aramco-sustainability-report-full-en.pdf
,publishes,company::r007_apple,report::r007_apple__20250__other
,matched_to_source,report::r007_apple__20250__other,source::Apple_Environmental_Progress_Report_2025.pdf
,publishes,company::r008_unitedhealthgroup,report::r008_unitedhealthgroup__20240__sustainabilityreport
,matched_to_source,report::r008_unitedhealthgroup__20240__sustainabilityreport,source::UNITEDHEALTH GROUP—2024-sustainability-report.pdf
,publishes,company::r010_cvshealth公司,report::r010_cvshealth公司__20240__impactreport
,matched_to_source,report::r010_cvshealth公司__20240__impactreport,source::CVS Health-2024-Impact-Report-Appendix.pdf
,publishes,company::r011_volkswagen,report::r011_volkswagen__20230__sustainabilityreport
,matched_to_source,report::r011_volkswagen__20230__sustainabilityreport,source::2023_Volkswagen_Group_Sustainability_Report.pdf
,publishes,company::r012_exxonmobil,report::r012_exxonmobil__20250__sustainabilityreport
,matched_to_source,report::r012_exxonmobil__20250__sustainabilityreport,source::EXXON MOBIL-sustainability-report-2025.pdf
,publishes,company::r013_shell,report::r013_shell__20240__annualreport
,matched_to_source,report::r013_shell__20240__annualreport,source::shell-annual-report-2024.pdf
,publishes,company::r014_chinastateconstructionengineering,report::r014_chinastateconstructionengineering__20240__other
,matched_to_source,report::r014_chinastateconstructionengineering__20240__other,source::2024中国建筑集团有限公司ESG报告.pdf
,publishes,company::r015_toyotamotor,report::r015_toyotamotor__20240__integratedreport
,matched_to_source,report::r015_toyotamotor__20240__integratedreport,source::TOYOTA MOTOR_2024_001_integrated_en.pdf
,publishes,company::r016_mckesson,report::r016_mckesson__20240__impactreport
,matched_to_source,report::r016_mckesson__20240__impactreport,source::McKesson Impact Report 2024.pdf
,publishes,company::r018_cencora公司,report::r018_cencora公司__20240__other
,matched_to_source,report::r018_cencora公司__20240__other,source::Cencora-2024-ent-00435-crsummaryreport-fnl2.pdf
,publishes,company::r019_trafiguragroup,report::r019_trafiguragroup__20240__sustainabilityreport
,matched_to_source,report::r019_trafiguragroup__20240__sustainabilityreport,source::2024_trafigura_sustainability_report.pdf
,publishes,company::r020_costcowholesale,report::r020_costcowholesale__nan__climatereport
,matched_to_source,report::r020_costcowholesale__nan__climatereport,source::COSTCO WHOLESALE_ClimateActionPlan_FY24.pdf
,publishes,company::r021_jpmorganchase,report::r021_jpmorganchase__20240__climatereport
,matched_to_source,report::r021_jpmorganchase__20240__climatereport,source::JPMORGAN CHASE-Climate-Report-2024.pdf
,publishes,company::r023_totalenergies,report::r023_totalenergies__20250__sustainabilityreport
,matched_to_source,report::r023_totalenergies__20250__sustainabilityreport,source::totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf
,publishes,company::r026_microsoft,report::r026_microsoft__20250__sustainabilityreport
,matched_to_source,report::r026_microsoft__20250__sustainabilityreport,source::2025-Microsoft-Environmental-Sustainability-Report-PDF.pdf
,publishes,company::r027_cardinalhealth,report::r027_cardinalhealth__nan__esgreport
,matched_to_source,report::r027_cardinalhealth__nan__esgreport,source::cardinal-health-fy24-ESG-report.pdf
,publishes,company::r028_stellantis集团,report::r028_stellantis集团__20240__climatereport
,matched_to_source,report::r028_stellantis集团__20240__climatereport,source::Stellantis-2024-Climate-Policy-Report.pdf
,publishes,company::r029_chevron,report::r029_chevron__20240__sustainabilityreport
,matched_to_source,report::r029_chevron__20240__sustainabilityreport,source::chevron-sustainability-highlights-2024.pdf
,publishes,company::r031_samsungelectronics,report::r031_samsungelectronics__20240__sustainabilityreport
,matched_to_source,report::r031_samsungelectronics__20240__sustainabilityreport,source::SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf
,publishes,company::r032_honhaiprecisionindustry,report::r032_honhaiprecisionindustry__20240__other
,matched_to_source,report::r032_honhaiprecisionindustry__20240__other,source::鸿海精密工业股份有限公司2024 - 中文完整版.pdf
,publishes,company::r033_cignagroup,report::r033_cignagroup__20240__impactreport
,matched_to_source,report::r033_cignagroup__20240__impactreport,source::2024-corporate-impact-report-CIGNA GROUP.pdf
,publishes,company::r034_agriculturalbankofchina,report::r034_agriculturalbankofchina__20240__sustainabilityreport
,matched_to_source,report::r034_agriculturalbankofchina__20240__sustainabilityreport,source::2024-中国农业银行股份有限公司可持续发展报告.pdf
,publishes,company::r035_chinarailwayengineeringgroup,report::r035_chinarailwayengineeringgroup__20210__other
