evidence_page,relation,source,target
,publishes,company::r446_aiagroup,report::r446_aiagroup__nan__esgreport
,matched_to_source,report::r446_aiagroup__nan__esgreport,source::AIA GROUP-Main-ESG-Report_CH.pdf
,publishes,company::r448_jabil,report::r448_jabil__20240__sustainabilityreport
,matched_to_source,report::r448_jabil__20240__sustainabilityreport,source::2024 Sustainability Report_Jabil.pdf
,publishes,company::r449_nationalaustraliabank,report::r449_nationalaustraliabank__20240__climatereport
,matched_to_source,report::r449_nationalaustraliabank__20240__climatereport,source::2024-NATIONAL AUSTRALIA BANK-climate-report.pdf
,publishes,company::r450_sap公司,report::r450_sap公司__20240__integratedreport
,matched_to_source,report::r450_sap公司__20240__integratedreport,source::SAP integrated_report2024.pdf
,publishes,company::r451_crrcgroup,report::r451_crrcgroup__20240__other
,matched_to_source,report::r451_crrcgroup__20240__other,source::中国中车2024ESG报告.pdf
,publishes,company::r453_lennar,report::r453_lennar__20240__other
,matched_to_source,report::r453_lennar__20240__other,source::FINAL-2024_LENNAR-Social_Responsibility_Report.pdf
,publishes,company::r454_sompoholdings,report::r454_sompoholdings__20240__sustainabilityreport
,matched_to_source,report::r454_sompoholdings__20240__sustainabilityreport,source::2024_SOMPO HOLDINGS_sustainability_report.pdf
,publishes,company::r455_elililly,report::r455_elililly__20240__sustainabilityreport
,matched_to_source,report::r455_elililly__20240__sustainabilityreport,source::2024_ELI LILLY-SustainabilityReport-20251020_FINAL.pdf
,publishes,company::r459_cummins,report::r459_cummins__20240__sustainabilityreport
,matched_to_source,report::r459_cummins__20240__sustainabilityreport,source::2024-25-cummins-sustainability-progress-report.pdf
,publishes,company::r461_rabobankgroup,report::r461_rabobankgroup__20240__impactreport
,matched_to_source,report::r461_rabobankgroup__20240__impactreport,source::rabobank_impact_report_2024.pdf
,publishes,company::r462_aisin,report::r462_aisin__20240__integratedreport
,matched_to_source,report::r462_aisin__20240__integratedreport,source::2024 AISIN_integrated report.pdf
,publishes,company::r463_rajeshexports公司,report::r463_rajeshexports公司__20240__other
,matched_to_source,report::r463_rajeshexports公司__20240__other,source::RajeshExportsAR2024.pdf
,publishes,company::r464_britishamericantobacco,report::r464_britishamericantobacco__20240__annualreport
,matched_to_source,report::r464_britishamericantobacco__20240__annualreport,source::BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf
,publishes,company::r466_bankofnewyorkmellon,report::r466_bankofnewyorkmellon__20230__sustainabilityreport
,matched_to_source,report::r466_bankofnewyorkmellon__20230__sustainabilityreport,source::2023-BANK OF NEW YORK MELLON sustainability-report.pdf
,publishes,company::r467_tongweigroup,report::r467_tongweigroup__20240__esgreport
,matched_to_source,report::r467_tongweigroup__20240__esgreport,source::2024 TONGWEI GROUP ESG report.pdf
,publishes,company::r468_netflix公司,report::r468_netflix公司__20240__other
