evidence_page,relation,source,target
,publishes,company::r263_novartis,report::r263_novartis__20240__integratedreport
,matched_to_source,report::r263_novartis__20240__integratedreport,source::novartis-integrated-report-2024.pdf
,publishes,company::r264_riotintogroup,report::r264_riotintogroup__20240__annualreport
,matched_to_source,report::r264_riotintogroup__20240__annualreport,source::2024-RIO TINTO GROUP-annual-report.pdf
,publishes,company::r270_unitedairlinesholdings,report::r270_unitedairlinesholdings__20240__other
,matched_to_source,report::r270_unitedairlinesholdings__20240__other,source::2024-UNITED AIRLINES HOLDINGS-report-interactive.pdf
,publishes,company::r273_iberdrola公司,report::r273_iberdrola公司__20240__sustainabilityreport
,matched_to_source,report::r273_iberdrola公司__20240__sustainabilityreport,source::gsm25-IBERDROLA-sustainability-report-2024.pdf
,publishes,company::r275_idemitsukosan,report::r275_idemitsukosan__nan__integratedreport
,matched_to_source,report::r275_idemitsukosan__nan__integratedreport,source::IDEMITSU KOSAN integrated report.pdf
,publishes,company::r278_americanairlinesgroup,report::r278_americanairlinesgroup__20240__sustainabilityreport
,matched_to_source,report::r278_americanairlinesgroup__20240__sustainabilityreport,source::American-Airlines-Sustainability-Report-2024.pdf
,publishes,company::r282_volvo,report::r282_volvo__20240__annualreport
,matched_to_source,report::r282_volvo__20240__annualreport,source::volvo-group-annual-report-2024.pdf
,publishes,company::r283_intesasanpaolo,report::r283_intesasanpaolo__20240__climatereport
,matched_to_source,report::r283_intesasanpaolo__20240__climatereport,source::2024_INTESA SANPAOLO-Climate_Report.pdf
,publishes,company::r286_bayer,report::r286_bayer__20240__impactreport
,matched_to_source,report::r286_bayer__20240__impactreport,source::bayer-impact-report-2024.pdf
,publishes,company::r287_tokiomarineholdings,report::r287_tokiomarineholdings__20250__sustainabilityreport
,matched_to_source,report::r287_tokiomarineholdings__20250__sustainabilityreport,source::TOKIO MARINE HOLDINGS sustainability_web_2025.pdf
,publishes,company::r289_maerskgroup,report::r289_maerskgroup__20240__annualreport
,matched_to_source,report::r289_maerskgroup__20240__annualreport,source::Maersk Annual Report 2024.pdf
,publishes,company::r297_sanofi,report::r297_sanofi__20240__sustainabilityreport
,matched_to_source,report::r297_sanofi__20240__sustainabilityreport,source::SANOFI-sustainability-statement-2024--ESG-Report-.pdf
,publishes,company::r298_marubeni,report::r298_marubeni__20240__sustainabilityreport
,matched_to_source,report::r298_marubeni__20240__sustainabilityreport,source::MARUBENI-sustainability-2024_en_all.pdf
